dt,nvalue,pvalue,diff
26-Nov-18,72,8,-64
27-Nov-18,81,7,-74
28-Nov-18,56,11,-45
29-Nov-18,48,14,-34
30-Nov-18,53,12,-41
3-Dec-18,36,18,-18
4-Dec-18,68,12,-56
6-Dec-18,88,7,-81
7-Dec-18,84,8,-76
10-Dec-18,91,9,-82
11-Dec-18,81,13,-68
12-Dec-18,72,12,-60
13-Dec-18,88,6,-82
14-Dec-18,92,4,-88
17-Dec-18,118,4,-114
18-Dec-18,116,2,-114
19-Dec-18,119,2,-117
20-Dec-18,119,3,-116
21-Dec-18,125,2,-123
24-Dec-18,114,1,-113
26-Dec-18,94,4,-90
27-Dec-18,82,4,-78
28-Dec-18,78,3,-75
31-Dec-18,73,3,-70
2-Jan-19,52,9,-43
3-Jan-19,73,6,-67
4-Jan-19,31,18,-13
7-Jan-19,22,41,19
8-Jan-19,20,39,19
9-Jan-19,18,49,31
10-Jan-19,14,49,35
11-Jan-19,13,46,33
14-Jan-19,13,51,38
15-Jan-19,9,58,49
16-Jan-19,8,60,52
17-Jan-19,9,65,56
18-Jan-19,8,76,68
22-Jan-19,10,55,45
23-Jan-19,16,50,34
24-Jan-19,13,51,38
25-Jan-19,9,68,59
28-Jan-19,18,49,31
29-Jan-19,13,58,45
30-Jan-19,8,67,59
31-Jan-19,10,71,61
1-Feb-19,13,71,58
4-Feb-19,13,73,60
5-Feb-19,12,75,63
6-Feb-19,12,74,62
7-Feb-19,23,46,23
8-Feb-19,28,45,17
11-Feb-19,24,58,34
12-Feb-19,14,67,53
13-Feb-19,9,96,87
14-Feb-19,8,102,94
15-Feb-19,8,123,115
19-Feb-19,11,131,120
20-Feb-19,9,142,133
21-Feb-19,9,133,124
22-Feb-19,6,135,129
25-Feb-19,5,153,148
26-Feb-19,10,141,131
27-Feb-19,14,134,120
28-Feb-19,13,108,95
1-Mar-19,9,128,119
4-Mar-19,9,115,106
5-Mar-19,10,112,102
6-Mar-19,27,77,50
7-Mar-19,40,64,24
8-Mar-19,40,52,12
11-Mar-19,27,65,38
12-Mar-19,29,76,47
13-Mar-19,26,74,48
14-Mar-19,23,74,51
15-Mar-19,31,88,57
18-Mar-19,20,102,82
19-Mar-19,29,98,69
20-Mar-19,26,76,50
21-Mar-19,26,98,72
22-Mar-19,55,61,6
25-Mar-19,44,50,6
26-Mar-19,41,58,17
27-Mar-19,46,49,3
28-Mar-19,35,61,26
29-Mar-19,31,60,29
